CustomerID,Gender,Age,SeniorCitizen,MaritalStatus,Dependents,Tenure,ContractType,InternetService,PhoneService,StreamingTV,StreamingMovies,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,NumberOfComplaints,CustomerSatisfactionScore,SupportTickets,LastInteractionDate,ReferralStatus,CustomerLifetimeValue,Churn,MonthlyCharges_Outlier,Tenure_Outlier,CustomerLifetimeValue_Outlier
CUST-100010,Male,60,0,Single,No,13,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,32.67,419.8,Electronic Check,Yes,0,4,1,2025-11-14,No,1277.26,No,0,0,0
CUST-100011,Female,50,0,Single,No,72,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,109.83,7765.08,Mailed Check,Yes,0,3,3,2025-12-02,Yes,10139.37,No,0,0,0
CUST-100012,Female,34,0,Married,No,21,Month-to-Month,Fiber Optic,No,No,Yes,Yes,No,No,No,97.4,1944.0,Electronic Check,Yes,0,4,6,2025-10-07,No,3130.58,No,0,0,0
CUST-100013,Female,26,0,Married,Yes,28,Month-to-Month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,106.71,2969.79,Mailed Check,No,0,3,0,2025-08-20,No,6888.43,Yes,0,0,0
CUST-100014,Male,57,0,Divorced,No,45,One Year,DSL,Yes,No,Yes,No,No,No,Yes,79.01,3345.69,Credit Card (Auto),No,1,4,1,2025-08-21,No,4468.26,No,0,0,0
CUST-100015,Male,41,0,Single,No,24,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,33.21,776.69,Mailed Check,Yes,1,3,2,2026-04-22,No,1419.7,No,0,0,0
CUST-100016,Female,75,1,Single,No,30,Month-to-Month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,110.81,3292.96,Electronic Check,No,0,4,1,2025-09-23,No,8548.6,No,0,0,0
CUST-100017,Male,35,0,Married,No,12,One Year,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,111.86,1286.66,Mailed Check,Yes,0,5,1,2025-07-28,No,3183.65,No,0,0,0
CUST-100018,Female,68,1,Single,No,4,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,31.41,118.3,Bank Transfer (Auto),Yes,0,5,1,2025-10-06,No,934.94,No,0,0,0
CUST-100019,Female,38,0,Single,No,22,Month-to-Month,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,103.18,2181.03,Credit Card (Auto),Yes,0,3,4,2026-06-13,Yes,3225.93,Yes,0,0,0
CUST-100020,Female,59,0,Married,Yes,13,Month-to-Month,DSL,Yes,Yes,No,No,No,No,No,79.36,1000.67,Bank Transfer (Auto),Yes,1,4,2,2025-09-07,No,2807.81,No,0,0,0
CUST-100021,Male,64,0,Married,No,72,One Year,DSL,Yes,Yes,No,Yes,No,No,Yes,82.67,5840.49,Bank Transfer (Auto),Yes,1,4,1,2025-09-04,No,7057.17,No,0,0,0
CUST-100022,Female,26,0,Single,No,72,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,28.81,2017.59,Mailed Check,No,1,3,3,2025-08-01,No,2666.9,No,0,0,0
CUST-100023,Female,34,0,Married,No,38,Two Year,Fiber Optic,Yes,Yes,No,No,No,Yes,No,94.35,3565.12,Bank Transfer (Auto),No,0,4,2,2025-09-29,No,4156.73,No,0,0,0
CUST-100024,Female,26,0,Married,No,27,Month-to-Month,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,119.39,3175.07,Credit Card (Auto),Yes,1,4,3,2025-06-22,No,4458.81,Yes,0,0,0
CUST-100025,Male,23,0,Divorced,No,9,Month-to-Month,Fiber Optic,Yes,No,No,No,No,Yes,No,91.55,789.88,Electronic Check,No,1,3,3,2025-06-26,No,1838.11,Yes,0,0,0
CUST-100026,Male,50,0,Single,No,41,One Year,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,109.56,4233.39,Bank Transfer (Auto),No,3,3,4,2026-05-17,Yes,6886.7,No,0,0,0
CUST-100027,Male,38,0,Married,Yes,67,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,Yes,No,96.59,6292.58,Bank Transfer (Auto),Yes,0,4,1,2026-04-12,No,7396.41,No,0,0,0
CUST-100028,Male,41,0,Married,No,25,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,34.43,830.49,Bank Transfer (Auto),Yes,2,3,2,2026-01-07,No,1424.84,No,0,0,0
CUST-100029,Female,48,0,Single,No,1,Month-to-Month,DSL,Yes,No,No,No,No,No,No,64.39,62.32,Bank Transfer (Auto),No,2,3,4,2026-01-17,No,542.57,Yes,0,0,0
CUST-100030,Female,18,0,Married,Yes,4,Month-to-Month,DSL,Yes,Yes,No,No,Yes,Yes,Yes,94.04,368.59,Electronic Check,No,1,3,4,2026-04-17,No,1585.79,Yes,0,0,0
CUST-100031,Female,59,0,Married,Yes,12,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,28.56,343.0,Credit Card (Auto),No,1,3,4,2026-01-18,Yes,1312.26,No,0,0,0
CUST-100032,Male,36,0,Single,No,2,Month-to-Month,DSL,Yes,Yes,No,No,No,No,Yes,79.14,149.49,Credit Card (Auto),No,1,4,1,2025-07-12,No,1158.42,No,0,0,0
CUST-100033,Male,48,0,Married,No,1,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,28.53,28.95,Credit Card (Auto),Yes,1,3,4,2026-01-29,No,135.5,No,0,0,0
CUST-100034,Male,49,0,Married,No,15,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.42,384.8,Credit Card (Auto),Yes,0,3,0,2025-10-17,No,1131.33,No,0,0,0
CUST-100035,Male,60,0,Married,Yes,59,One Year,Fiber Optic,No,No,Yes,No,Yes,No,No,91.92,5419.81,Credit Card (Auto),Yes,1,4,2,2026-05-30,No,7844.79,No,0,0,0
CUST-100036,Male,39,0,Single,Yes,46,Month-to-Month,DSL,Yes,No,No,No,No,No,No,62.83,2749.52,Electronic Check,Yes,0,3,0,2026-03-09,No,4676.06,No,0,0,0
CUST-100037,Male,18,0,Married,Yes,53,Two Year,DSL,Yes,No,No,No,Yes,No,No,73.84,3976.85,Electronic Check,Yes,0,4,1,2025-08-23,Yes,6216.25,No,0,0,0
CUST-100038,Male,41,0,Single,No,1,Month-to-Month,DSL,Yes,Yes,No,Yes,No,No,No,69.73,67.5,Electronic Check,Yes,0,4,1,2025-12-09,No,1741.02,Yes,0,0,0
CUST-100039,Female,43,0,Married,No,64,Two Year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,115.91,7430.29,Electronic Check,Yes,0,5,3,2026-05-10,No,9021.16,No,0,0,0
CUST-100040,Male,26,0,Married,Yes,40,Two Year,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,18.25,694.99,Bank Transfer (Auto),No,0,4,1,2025-09-03,No,1091.92,No,0,0,0
CUST-100041,Female,43,0,Married,Yes,35,One Year,Fiber Optic,Yes,No,Yes,No,No,No,No,94.71,3315.22,Electronic Check,No,0,4,0,2025-06-19,No,5117.77,No,0,0,0
CUST-100042,Female,35,0,Married,No,61,Month-to-Month,DSL,Yes,Yes,No,No,Yes,No,Yes,81.22,4829.87,Electronic Check,Yes,0,4,2,2025-12-06,Yes,7184.6,Yes,0,0,0
CUST-100043,Male,22,0,Single,No,49,Two Year,DSL,Yes,No,Yes,No,No,No,Yes,80.37,3940.18,Bank Transfer (Auto),No,0,4,2,2025-09-06,Yes,4921.84,No,0,0,0
CUST-100044,Female,50,0,Single,No,6,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,105.14,593.27,Electronic Check,Yes,1,3,4,2025-12-06,No,1399.45,Yes,0,0,0
CUST-100045,Female,33,0,Married,No,11,Month-to-Month,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,100.57,1058.95,Bank Transfer (Auto),Yes,1,3,1,2026-01-01,Yes,2858.21,Yes,0,0,0
CUST-100046,Male,35,0,Single,No,38,Two Year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,97.67,3693.57,Bank Transfer (Auto),No,1,4,1,2026-02-28,No,5553.05,Yes,0,0,0
CUST-100047,Male,34,0,Married,No,23,Month-to-Month,DSL,Yes,No,No,No,Yes,No,No,68.37,1536.41,Electronic Check,Yes,0,4,4,2026-05-12,Yes,3661.03,No,0,0,0
CUST-100048,Female,58,0,Married,Yes,25,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,No,No,103.04,2437.94,Mailed Check,Yes,0,3,3,2026-04-02,No,4634.16,No,0,0,0
CUST-100049,Male,40,0,Divorced,No,29,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,28.77,849.69,Mailed Check,Yes,2,3,3,2025-12-09,No,1311.96,No,0,0,0
CUST-100050,Male,42,0,Single,Yes,52,Two Year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,103.2,5117.01,Bank Transfer (Auto),Yes,1,4,3,2025-06-30,Yes,6969.56,No,0,0,0
CUST-100051,Male,34,0,Married,Yes,6,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,31.38,179.84,Bank Transfer (Auto),No,0,4,0,2026-04-02,No,609.57,No,0,0,0
CUST-100052,Female,47,0,Single,No,49,Two Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.75,1251.17,Mailed Check,Yes,0,4,1,2026-03-07,Yes,1768.35,No,0,0,0
CUST-100053,Female,59,0,Divorced,Yes,13,Month-to-Month,DSL,No,No,No,No,Yes,No,No,61.1,758.94,Credit Card (Auto),Yes,3,2,4,2025-10-24,No,1764.92,Yes,0,0,0
CUST-100054,Female,50,0,Married,Yes,72,One Year,DSL,Yes,No,No,No,Yes,Yes,No,73.94,5192.23,Credit Card (Auto),No,1,4,2,2025-08-28,Yes,7218.78,No,0,0,0
CUST-100055,Female,50,0,Married,Yes,14,Month-to-Month,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,23.85,338.03,Bank Transfer (Auto),No,0,3,1,2025-08-07,No,904.03,No,0,0,0
CUST-100056,Male,49,0,Married,Yes,7,Month-to-Month,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,107.06,727.11,Mailed Check,Yes,1,2,4,2025-07-18,No,2299.22,No,0,0,0
CUST-100057,Female,21,0,Single,No,7,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,22.21,157.03,Mailed Check,No,0,3,1,2025-11-29,No,898.8,No,0,0,0
CUST-100058,Male,28,0,Married,Yes,15,Month-to-Month,DSL,Yes,No,No,No,No,Yes,No,67.71,1031.48,Mailed Check,Yes,0,3,1,2025-10-27,No,2654.21,No,0,0,0
CUST-100059,Male,38,0,Divorced,Yes,30,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,26.89,788.54,Bank Transfer (Auto),Yes,1,3,1,2026-03-27,No,1051.68,No,0,0,0
CUST-100060,Female,30,0,Single,No,72,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.43,1826.16,Credit Card (Auto),Yes,0,4,0,2026-01-07,No,2201.28,No,0,0,0
CUST-100061,Male,26,0,Widowed,No,26,Month-to-Month,DSL,Yes,No,Yes,Yes,Yes,No,Yes,85.16,2161.46,Electronic Check,No,1,3,2,2025-12-15,No,4707.43,No,0,0,0
CUST-100062,Female,18,0,Divorced,No,56,One Year,DSL,Yes,No,No,Yes,No,No,Yes,70.22,3827.99,Bank Transfer (Auto),No,0,4,0,2025-08-04,No,5348.51,No,0,0,0
CUST-100063,Female,22,0,Widowed,Yes,49,Two Year,Fiber Optic,Yes,No,No,No,No,No,No,83.96,3903.69,Bank Transfer (Auto),Yes,1,4,2,2026-05-15,No,6414.9,No,0,0,0
CUST-100064,Female,37,0,Divorced,No,61,One Year,Fiber Optic,Yes,Yes,No,No,Yes,No,No,97.8,5746.43,Mailed Check,No,1,3,2,2025-12-31,No,7582.21,No,0,0,0
CUST-100065,Female,40,0,Single,No,72,Two Year,DSL,No,Yes,Yes,Yes,No,No,No,79.52,5613.35,Electronic Check,Yes,0,4,0,2026-05-12,Yes,7433.58,No,0,0,0
CUST-100066,Female,29,0,Married,Yes,45,One Year,DSL,Yes,Yes,Yes,No,No,Yes,No,85.45,3668.23,Bank Transfer (Auto),Yes,0,2,2,2026-03-07,No,5237.73,No,0,0,0
CUST-100067,Male,42,0,Single,No,24,Two Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,23.46,536.75,Electronic Check,Yes,1,3,4,2025-06-01,Yes,1163.99,Yes,0,0,0
CUST-100068,Male,34,0,Married,No,32,One Year,DSL,Yes,Yes,Yes,No,Yes,No,No,78.67,2441.36,Credit Card (Auto),Yes,0,4,1,2026-06-04,No,3897.72,No,0,0,0
CUST-100069,Male,56,0,Single,No,38,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,32.08,1169.15,Bank Transfer (Auto),No,1,3,2,2026-03-13,No,2075.95,No,0,0,0
CUST-100070,Male,38,0,Divorced,Yes,55,One Year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,89.58,4742.52,Electronic Check,No,0,3,2,2025-08-29,No,5869.77,No,0,0,0
CUST-100071,Male,50,0,Single,No,32,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,25.05,762.72,Bank Transfer (Auto),No,0,5,0,2025-07-09,No,1290.94,No,0,0,0
CUST-100072,Female,43,0,Single,Yes,17,One Year,DSL,Yes,No,Yes,No,Yes,Yes,No,82.02,1342.72,Bank Transfer (Auto),Yes,0,3,2,2026-04-28,No,3733.04,No,0,0,0
CUST-100073,Male,21,0,Single,No,0,Month-to-Month,DSL,Yes,Yes,No,Yes,No,Yes,No,88.02,0.0,Bank Transfer (Auto),Yes,0,3,1,2025-11-30,Yes,3489.6,Yes,0,0,0
CUST-100074,Male,39,0,Married,Yes,23,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,32.42,740.8,Bank Transfer (Auto),No,0,4,4,2025-08-06,No,1444.84,No,0,0,0
CUST-100075,Male,23,0,Single,Yes,28,Two Year,DSL,Yes,Yes,Yes,No,No,No,No,75.86,2035.59,Credit Card (Auto),No,1,3,3,2026-05-14,No,3622.96,No,0,0,0
CUST-100076,Male,39,0,Single,No,32,Two Year,DSL,Yes,No,Yes,No,No,No,No,71.41,2193.06,Bank Transfer (Auto),No,1,2,1,2025-06-30,Yes,4155.31,Yes,0,0,0
CUST-100077,Female,30,0,Single,No,4,Month-to-Month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,101.01,391.81,Mailed Check,No,0,3,1,2025-08-15,Yes,907.18,Yes,0,0,0
CUST-100078,Female,46,0,Single,No,29,Month-to-Month,Fiber Optic,Yes,No,No,No,No,Yes,No,95.41,2667.65,Bank Transfer (Auto),Yes,0,4,1,2025-06-12,No,4099.1,Yes,0,0,0
CUST-100079,Female,22,0,Widowed,No,16,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,No,No,91.37,1403.2,Electronic Check,No,0,4,2,2025-12-16,Yes,3365.96,Yes,0,0,0
CUST-100080,Female,41,0,Married,No,44,One Year,DSL,Yes,Yes,No,No,Yes,No,No,76.86,3449.11,Mailed Check,Yes,0,3,3,2026-06-11,No,6138.89,Yes,0,0,0
CUST-100081,Male,49,0,Single,No,0,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,24.38,0.0,Electronic Check,No,0,3,0,2025-12-02,Yes,156.98,Yes,0,0,0
CUST-100082,Female,53,0,Single,No,48,Two Year,DSL,Yes,No,Yes,No,Yes,No,No,75.72,3501.09,Electronic Check,Yes,2,3,2,2025-08-08,Yes,5043.87,Yes,0,0,0
CUST-100083,Male,30,0,Single,Yes,29,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,27.73,772.2,Electronic Check,No,1,3,3,2025-11-05,No,811.56,No,0,0,0
CUST-100084,Male,41,0,Single,No,19,Month-to-Month,Fiber Optic,Yes,Yes,No,No,No,Yes,No,97.03,1758.33,Bank Transfer (Auto),No,1,3,2,2025-09-30,No,3321.68,No,0,0,0
CUST-100085,Male,43,0,Single,No,60,Month-to-Month,DSL,Yes,No,No,No,Yes,Yes,No,71.13,4092.09,Credit Card (Auto),No,2,3,3,2025-12-18,Yes,5449.66,No,0,0,0
CUST-100086,Female,62,0,Single,No,18,One Year,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,115.82,2052.1,Bank Transfer (Auto),Yes,1,4,3,2025-12-03,No,4492.45,Yes,0,0,0
CUST-100087,Male,20,0,Single,No,72,One Year,Fiber Optic,Yes,Yes,Yes,No,No,No,No,107.61,7738.98,Mailed Check,No,2,3,3,2025-07-29,Yes,8991.05,Yes,0,0,0
CUST-100088,Male,28,0,Single,Yes,33,One Year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,97.19,3253.19,Bank Transfer (Auto),No,0,4,1,2026-04-21,No,3709.2,No,0,0,0
CUST-100089,Male,80,1,Married,Yes,6,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,No,Yes,102.31,593.93,Credit Card (Auto),Yes,3,3,5,2025-07-13,Yes,3484.91,Yes,0,0,0
CUST-100090,Male,37,0,Single,No,22,Month-to-Month,Fiber Optic,Yes,Yes,No,No,No,No,No,94.63,2005.38,Bank Transfer (Auto),Yes,2,4,3,2025-10-20,No,3227.57,Yes,0,0,0
CUST-100091,Female,18,0,Married,Yes,7,Month-to-Month,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,113.68,780.65,Credit Card (Auto),Yes,0,4,1,2026-06-21,No,2531.36,No,0,0,0
CUST-100092,Male,32,0,Married,Yes,8,Month-to-Month,DSL,Yes,Yes,No,No,Yes,Yes,No,76.4,578.39,Electronic Check,Yes,2,2,4,2025-12-30,No,2010.57,No,0,0,0
CUST-100093,Male,18,0,Divorced,No,6,Month-to-Month,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,106.1,613.67,Electronic Check,Yes,0,3,3,2026-04-12,No,2661.35,No,0,0,0
CUST-100094,Male,44,0,Single,No,18,Month-to-Month,Fiber Optic,Yes,No,No,No,No,No,No,82.97,1515.3,Electronic Check,Yes,0,4,4,2026-06-14,No,2812.47,Yes,0,0,0
CUST-100095,Female,52,0,Married,No,9,One Year,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,22.88,207.25,Bank Transfer (Auto),Yes,0,4,1,2026-01-31,No,906.41,No,0,0,0
CUST-100096,Male,28,0,Divorced,No,13,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,27.93,351.01,Mailed Check,No,1,3,2,2026-01-07,No,1494.17,No,0,0,0
CUST-100097,Male,34,0,Widowed,No,43,One Year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,91.37,3865.9,Electronic Check,Yes,0,3,0,2025-06-12,No,4983.23,No,0,0,0
CUST-100098,Male,53,0,Divorced,No,66,Month-to-Month,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,112.66,7390.48,Credit Card (Auto),Yes,5,1,5,2026-02-11,No,11051.65,Yes,0,0,1
CUST-100099,Female,18,0,Single,No,38,Month-to-Month,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,115.46,4248.82,Credit Card (Auto),Yes,1,2,2,2025-06-08,Yes,8182.24,Yes,0,0,0
CUST-100100,Female,22,0,Widowed,No,8,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,No,No,101.82,768.23,Mailed Check,No,0,2,2,2026-03-16,No,2846.44,Yes,0,0,0
CUST-100101,Female,37,0,Divorced,Yes,2,Month-to-Month,DSL,Yes,Yes,No,No,No,Yes,No,79.51,157.26,Bank Transfer (Auto),Yes,3,3,4,2025-07-12,Yes,1848.01,No,0,0,0
CUST-100102,Male,30,0,Single,Yes,44,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,29.47,1302.34,Credit Card (Auto),Yes,2,3,3,2025-06-08,No,2065.19,Yes,0,0,0
CUST-100103,Female,36,0,Single,No,41,Two Year,DSL,Yes,Yes,No,Yes,No,No,Yes,82.9,3432.68,Credit Card (Auto),No,0,4,0,2026-06-22,Yes,5110.82,No,0,0,0
CUST-100104,Female,23,0,Divorced,Yes,3,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,33.26,94.77,Bank Transfer (Auto),Yes,0,4,1,2025-10-14,No,757.7,No,0,0,0
CUST-100105,Female,44,0,Single,No,2,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,Yes,No,99.01,190.36,Electronic Check,No,1,1,3,2025-11-11,No,3252.09,Yes,0,0,0
CUST-100106,Male,38,0,Married,No,40,Two Year,DSL,Yes,No,No,Yes,No,No,No,70.05,2670.73,Mailed Check,Yes,1,4,1,2026-05-02,Yes,3521.0,No,0,0,0
CUST-100107,Male,48,0,Married,No,69,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,104.9,6870.32,Electronic Check,Yes,2,2,3,2025-12-10,No,8717.22,No,0,0,0
CUST-100108,Male,43,0,Married,Yes,50,One Year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,101.33,4763.15,Mailed Check,Yes,0,4,1,2025-11-28,No,6979.91,No,0,0,0
CUST-100109,Female,43,0,Single,No,28,One Year,DSL,Yes,Yes,No,No,No,No,No,73.77,2054.39,Bank Transfer (Auto),Yes,0,4,3,2026-02-10,No,3970.87,No,0,0,0
CUST-100110,Male,20,0,Married,Yes,48,Month-to-Month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,109.21,5277.84,Credit Card (Auto),No,1,3,2,2026-01-09,No,6868.02,Yes,0,0,0
CUST-100111,Male,47,0,Married,Yes,5,Month-to-Month,DSL,No,No,Yes,No,No,No,Yes,67.81,327.84,Electronic Check,No,1,3,2,2025-08-04,Yes,2193.75,Yes,0,0,0
CUST-100112,Male,36,0,Divorced,No,71,Two Year,DSL,No,Yes,No,No,No,No,No,66.04,4746.72,Electronic Check,Yes,1,3,2,2026-01-06,No,5418.83,No,0,0,0
CUST-100113,Female,38,0,Single,No,7,Month-to-Month,Fiber Optic,No,Yes,No,No,No,No,No,85.13,605.66,Mailed Check,Yes,0,3,1,2026-03-31,No,2305.68,Yes,0,0,0
CUST-100114,Male,55,0,Single,No,11,Month-to-Month,Fiber Optic,Yes,No,Yes,No,No,No,No,93.78,1013.06,Mailed Check,Yes,0,3,3,2026-06-24,Yes,2495.5,Yes,0,0,0
CUST-100115,Female,30,0,Single,No,28,Month-to-Month,DSL,Yes,No,Yes,Yes,No,No,No,77.85,2050.56,Credit Card (Auto),Yes,1,3,1,2025-08-06,No,4160.61,No,0,0,0
CUST-100116,Female,59,0,Single,No,4,Month-to-Month,DSL,Yes,Yes,No,Yes,Yes,No,No,83.5,318.4,Bank Transfer (Auto),No,0,4,2,2026-01-02,No,2544.82,Yes,0,0,0
CUST-100117,Female,61,0,Widowed,No,15,Two Year,Fiber Optic,Yes,No,No,No,Yes,No,Yes,96.37,1430.19,Mailed Check,Yes,2,3,2,2026-03-19,No,2660.0,No,0,0,0
CUST-100118,Male,51,0,Single,No,25,Two Year,Fiber Optic,Yes,Yes,No,No,No,No,No,91.66,2249.4,Electronic Check,No,0,4,2,2026-06-03,Yes,2899.46,No,0,0,0
CUST-100119,Female,27,0,Single,No,23,Two Year,Fiber Optic,Yes,No,Yes,No,No,No,No,97.74,2203.66,Electronic Check,Yes,1,3,2,2025-09-15,No,5832.97,Yes,0,0,0
CUST-100120,Female,18,0,Divorced,No,20,Month-to-Month,No,Yes,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,21.75,429.79,Credit Card (Auto),Yes,2,2,2,2025-09-23,No,1220.56,Yes,0,0,0
CUST-100121,Female,56,0,Single,No,25,Two Year,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,107.59,2671.6,Mailed Check,Yes,0,5,2,2025-09-14,No,5800.99,No,0,0,0
